review_id,stars,date,title,text,source,product,version,vote_count,place_name,address,city,state,latitude,longitude,google_rating,total_reviews_at_location
14177165529,1,2026-06-13,Why is it in Spanish,I got the app and it was Spanish Korean or something don’t get it,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
14159553663,1,2026-06-08,Scam app,"Hello , I don’t t speak Korean or any other languages but this is unnecessary and unacceptable. When I opened this app I noticed it had a different language but I didn’t think much of it. When I saw the prices I noticed that this is a scam because I have a bracelet that’s on here and that is $80-$110  but on here it says $180,000 and it really doesn’t make sense. This app shouldn’t be on here!",app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
14155119722,1,2026-06-07,Not in English,Pandora is in some type of Asian language. I’m not sure why it doesn’t have different opinions….,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
14112541253,1,2026-05-27,Language,The language issue on the app is a big issue,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
14101760640,1,2026-05-24,DONT DOWNLAOD,This app is terrible dont download,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
14061325190,1,2026-05-13,Terrible,"why is this is chinese ?? just becaude im learning chinese doesnt mean i know all this . and these prices are ridiculous!! i would give 0 stars if i could , i was trying to find me and my friend a matching ring 🫪",app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
14039200136,1,2026-05-07,Do Better Pandora,Your app...sucks. It's an absolute pain to change the language. Half the time when you try to make an order it don't even work.,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
13997374454,1,2026-04-25,Do not even attempt,Oh it’s not even English believe it’s the biggest scam ! Just don’t even waste your time un downloaded so fast.,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
13986834796,3,2026-04-22,Language,I don’t know how to change the language to English 😔,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
13983540246,1,2026-04-21,Horrible,"Do not download this the first language that popped up was Korean, and I didn’t understand how to select anything this is so horrible …",app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
13959207847,1,2026-04-14,Bad app,I can’t read it’s a foreign language,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
13959127065,1,2026-04-14,Language,Language is in a language I can read or speak,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
13951216871,1,2026-04-12,Please explain,Why is the app in scrip? Where is the English translation?,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
13948696884,1,2026-04-11,pandora app,the app is very dysfunctional the set language isn't even english and the app was continuously getting stuck,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
13927346623,1,2026-04-05,The English version,Does not have an English version only has one language and it’s pointless when people are in the US trying to use this app do not get it,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
13905065614,1,2026-03-30,..,so like their calling me nonblack even tho i am because like the have me chinese words on the app soon as i downloaded it,app_store,Pandora Jewelry,1.0.30201,0,,,,,,,,
